id,type,label
Fran Broderick,faculty,Fran Broderick
Matt Huenerfauth,faculty,Matt Huenerfauth
Charles Gruener,faculty,Charles Gruener
Victoria Cottrell,faculty,Victoria Cottrell
Michelle Magee,faculty,Michelle Magee
Daqing Hou,faculty,Daqing Hou
Dukka KC,faculty,Dukka KC
Gina Shevchuk,faculty,Gina Shevchuk
Jon Rodibaugh,faculty,Jon Rodibaugh
Naveen Sharma,faculty,Naveen Sharma
David I. Schwartz,faculty,David I. Schwartz
Sharon Mason,faculty,Sharon Mason
Pengcheng Shi,faculty,Pengcheng Shi
Lauren Shields,faculty,Lauren Shields
Ersin Uzun,faculty,Ersin Uzun
Lana Verschage,faculty,Lana Verschage
Matthew Wright,faculty,Matthew Wright
Michael Yacci,faculty,Michael Yacci
Adam Platzer,faculty,Adam Platzer
Don Denz,faculty,Don Denz
Christina Rohr,faculty,Christina Rohr
Karen Hirst,faculty,Karen Hirst
Hannah Pruch,faculty,Hannah Pruch
Elisabeth Foster,faculty,Elisabeth Foster
Shelby Trudeau,faculty,Shelby Trudeau
Rachael Caveney,faculty,Rachael Caveney
Liz Martin,faculty,Liz Martin
Gabriela Diaz,faculty,Gabriela Diaz
Jill Flanagan,faculty,Jill Flanagan
Mackenzie DeRider,faculty,Mackenzie DeRider
Linda Searing,faculty,Linda Searing
Sarah Mittiga,faculty,Sarah Mittiga
Carrie Koneski,faculty,Carrie Koneski
Joe Rozak,faculty,Joe Rozak
Megan Lehman,faculty,Megan Lehman
Theresa Gorecki,faculty,Theresa Gorecki
Cindy Raynard,faculty,Cindy Raynard
Jill Persson,faculty,Jill Persson
Travis Desell,faculty,Travis Desell
Haibo Yang,faculty,Haibo Yang
Kelly Vincent-Brunacini,faculty,Kelly Vincent-Brunacini
Ann Dilal,faculty,Ann Dilal
Micah Audycki,faculty,Micah Audycki
Heidi Davis,faculty,Heidi Davis
Patti Spanganberg,faculty,Patti Spanganberg
Michele McGrath,faculty,Michele McGrath
Renee Walker,faculty,Renee Walker
Olivia Nuccitelli,faculty,Olivia Nuccitelli
Tyler Monica,faculty,Tyler Monica
Jennifer Burt,faculty,Jennifer Burt
Shevette Wilson,faculty,Shevette Wilson
Jacquis Webb,faculty,Jacquis Webb
Britt Stanford,faculty,Britt Stanford
Chad Weeden,faculty,Chad Weeden
Beth Livecchi,faculty,Beth Livecchi
Rui Li,faculty,Rui Li
Linwei Wang,faculty,Linwei Wang
Daniel Krutz,faculty,Daniel Krutz
Christian Newman,faculty,Christian Newman
Yinxi Liu,faculty,Yinxi Liu
Carlos R. Rivero,faculty,Carlos R. Rivero
Nidhi Rastogi,faculty,Nidhi Rastogi
Andy Meneely,faculty,Andy Meneely
Derui Zhu,faculty,Derui Zhu
Yiming Tang,faculty,Yiming Tang
Xueling Zhang,faculty,Xueling Zhang
Zhe Yu,faculty,Zhe Yu
Esa Rantanen,faculty,Esa Rantanen
Joe Geigel,faculty,Joe Geigel
Carlos Castellanos,faculty,Carlos Castellanos
Reynold Bailey,faculty,Reynold Bailey
Cecilia Alm,faculty,Cecilia Alm
Konstantinos Papangelis,faculty,Konstantinos Papangelis
Tae Oh,faculty,Tae Oh
Roshan Peiris,faculty,Roshan Peiris
Chao Peng,faculty,Chao Peng
Kristen Shinohara,faculty,Kristen Shinohara
Garreth Tigwell,faculty,Garreth Tigwell
Richard Zanibbi,faculty,Richard Zanibbi
Elena Fedorovskaya,faculty,Elena Fedorovskaya
Brian Tomaszewski,faculty,Brian Tomaszewski
Michael Stinson,faculty,Michael Stinson
Dan Phillips,faculty,Dan Phillips
Sorim Chung,faculty,Sorim Chung
Ehsan Rashedi,faculty,Ehsan Rashedi
James Ferwerda,faculty,James Ferwerda
Lingwei Chen,faculty,Lingwei Chen
Zilin Bian,faculty,Zilin Bian
Ivona Bezakova,faculty,Ivona Bezakova
Jessica Bayliss,faculty,Jessica Bayliss
Edith Hemaspaandra,faculty,Edith Hemaspaandra
Ashique KhudaBukhsh,faculty,Ashique KhudaBukhsh
Feng Cui,faculty,Feng Cui
Jamison Heard,faculty,Jamison Heard
Richard Lange,faculty,Richard Lange
Dongfang Liu,faculty,Dongfang Liu
Yangming Lee,faculty,Yangming Lee
Pengfei Li,faculty,Pengfei Li
